User,Timestamp,Compound_Score,Pos_Score,Neu_Score,Neg_Score,Tweets_Ago,Tweet_Text
BBCWorld,Sun Sep 30 06:52:54 +0000 2018,-0.5994,0.0,0.642,0.358,1,Indonesia quake death toll 'at least 832' https://t.co/1VCcXxRrR4
BBCWorld,Sun Sep 30 05:18:22 +0000 2018,-0.2263,0.0,0.808,0.192,2,Jair Bolsonaro: Large protests against Brazil election front-runner https://t.co/qgfMYWdpgE
BBCWorld,Sun Sep 30 04:16:37 +0000 2018,0.0,0.0,1.0,0.0,3,Indonesia tsunami: Rescuers dig through rubble for survivors https://t.co/m7DXh7xLyr
BBCWorld,Sun Sep 30 00:56:22 +0000 2018,-0.6249,0.0,0.631,0.369,4,Racism and stereotypes in colonial India’s 'Instagram’ https://t.co/9nlhxMc5Vy
BBCWorld,Sun Sep 30 00:52:49 +0000 2018,-0.6369,0.0,0.656,0.344,5,Why Hollywood writer Ubah Mohamed hated her name https://t.co/zhvHnaQZ1o
BBCWorld,Sun Sep 30 00:49:07 +0000 2018,0.0,0.0,1.0,0.0,6,Brazil indigenous group bets on 'golden fruit' https://t.co/1EpTnBeIla
BBCWorld,Sun Sep 30 00:12:47 +0000 2018,0.0,0.0,1.0,0.0,7,Brett Kavanaugh: FBI contacts second woman https://t.co/fI0zi8dx8Q
BBCWorld,Sat Sep 29 23:21:42 +0000 2018,0.0,0.0,1.0,0.0,8,India airports: Has PM Modi built more than others? https://t.co/2ytKfJi1E4
BBCWorld,Sat Sep 29 22:54:42 +0000 2018,0.0,0.0,1.0,0.0,9,"North Korea 'won't disarm if sanctions continue', minister says https://t.co/G30RXWIqug"
BBCWorld,Sat Sep 29 22:39:25 +0000 2018,-0.7184,0.0,0.571,0.429,10,Russian spy poisoning: Woman 'identifies' suspect as Anatoliy Chepiga https://t.co/x0x1s3pqFN
BBCWorld,Sat Sep 29 18:38:49 +0000 2018,-0.7506,0.174,0.316,0.511,11,Danish police free manhunt suspects in death threat case https://t.co/MdvQVtWIUX
BBCWorld,Sat Sep 29 18:15:24 +0000 2018,0.0,0.0,1.0,0.0,12,Turkey's Erdogan opens mosque in German city of Cologne https://t.co/PwqV4taNQZ
BBCWorld,Sat Sep 29 16:25:59 +0000 2018,0.0,0.0,1.0,0.0,13,What will the FBI investigation into Kavanaugh actually do? https://t.co/cgOdPVUEQw
BBCWorld,Sat Sep 29 15:42:15 +0000 2018,-0.6249,0.0,0.661,0.339,14,Indonesia tsunami: Aftershocks rock Palu day after disaster https://t.co/NX1sOtrqel
BBCWorld,Sat Sep 29 15:17:04 +0000 2018,-0.6486,0.0,0.815,0.185,15,"RT @BBCNews: More than half of the world's killer whales could be wiped out by man-made chemicals, scientists say 

https://t.co/qO6tcjJUY6…"
BBCWorld,Sat Sep 29 14:13:33 +0000 2018,-0.4404,0.117,0.583,0.301,16,Egypt sentences activist for 'spreading fake news' https://t.co/7mVqaXNJVR
BBCWorld,Sat Sep 29 11:55:30 +0000 2018,0.0,0.0,1.0,0.0,17,HIV/Aids: China reports 14% surge in new cases https://t.co/quSiJJTfY6
BBCWorld,Sat Sep 29 11:40:46 +0000 2018,0.0,0.0,1.0,0.0,18,"RT @bbcworldservice: The 94-year-old who writes a sex advice column in Mumbai. #MyIndianLife 
📻 https://t.co/ZQ7MwxfCmh"
BBCWorld,Sat Sep 29 10:52:14 +0000 2018,0.0,0.0,1.0,0.0,19,"RT @bbcweather: A rare ""medicane"" (a hurricane-like storm in the Mediterranean) can be seen on these satellite images. This storm will brin…"
BBCWorld,Sat Sep 29 10:43:06 +0000 2018,0.0,0.0,1.0,0.0,20,RT @PhilippaBBC: A reminder for @BBCWorld followers about why so much is at stake with the Brett Kavanaugh confirmation - whatever your pol…
BBCWorld,Sun Sep 30 06:52:54 +0000 2018,-0.5994,0.0,0.642,0.358,21,Indonesia quake death toll 'at least 832' https://t.co/1VCcXxRrR4
BBCWorld,Sun Sep 30 05:18:22 +0000 2018,-0.2263,0.0,0.808,0.192,22,Jair Bolsonaro: Large protests against Brazil election front-runner https://t.co/qgfMYWdpgE
BBCWorld,Sun Sep 30 04:16:37 +0000 2018,0.0,0.0,1.0,0.0,23,Indonesia tsunami: Rescuers dig through rubble for survivors https://t.co/m7DXh7xLyr
BBCWorld,Sun Sep 30 00:56:22 +0000 2018,-0.6249,0.0,0.631,0.369,24,Racism and stereotypes in colonial India’s 'Instagram’ https://t.co/9nlhxMc5Vy
BBCWorld,Sun Sep 30 00:52:49 +0000 2018,-0.6369,0.0,0.656,0.344,25,Why Hollywood writer Ubah Mohamed hated her name https://t.co/zhvHnaQZ1o
BBCWorld,Sun Sep 30 00:49:07 +0000 2018,0.0,0.0,1.0,0.0,26,Brazil indigenous group bets on 'golden fruit' https://t.co/1EpTnBeIla
BBCWorld,Sun Sep 30 00:12:47 +0000 2018,0.0,0.0,1.0,0.0,27,Brett Kavanaugh: FBI contacts second woman https://t.co/fI0zi8dx8Q
BBCWorld,Sat Sep 29 23:21:42 +0000 2018,0.0,0.0,1.0,0.0,28,India airports: Has PM Modi built more than others? https://t.co/2ytKfJi1E4
BBCWorld,Sat Sep 29 22:54:42 +0000 2018,0.0,0.0,1.0,0.0,29,"North Korea 'won't disarm if sanctions continue', minister says https://t.co/G30RXWIqug"
BBCWorld,Sat Sep 29 22:39:25 +0000 2018,-0.7184,0.0,0.571,0.429,30,Russian spy poisoning: Woman 'identifies' suspect as Anatoliy Chepiga https://t.co/x0x1s3pqFN
BBCWorld,Sat Sep 29 18:38:49 +0000 2018,-0.7506,0.174,0.316,0.511,31,Danish police free manhunt suspects in death threat case https://t.co/MdvQVtWIUX
BBCWorld,Sat Sep 29 18:15:24 +0000 2018,0.0,0.0,1.0,0.0,32,Turkey's Erdogan opens mosque in German city of Cologne https://t.co/PwqV4taNQZ
BBCWorld,Sat Sep 29 16:25:59 +0000 2018,0.0,0.0,1.0,0.0,33,What will the FBI investigation into Kavanaugh actually do? https://t.co/cgOdPVUEQw
BBCWorld,Sat Sep 29 15:42:15 +0000 2018,-0.6249,0.0,0.661,0.339,34,Indonesia tsunami: Aftershocks rock Palu day after disaster https://t.co/NX1sOtrqel
BBCWorld,Sat Sep 29 15:17:04 +0000 2018,-0.6486,0.0,0.815,0.185,35,"RT @BBCNews: More than half of the world's killer whales could be wiped out by man-made chemicals, scientists say 

https://t.co/qO6tcjJUY6…"
BBCWorld,Sat Sep 29 14:13:33 +0000 2018,-0.4404,0.117,0.583,0.301,36,Egypt sentences activist for 'spreading fake news' https://t.co/7mVqaXNJVR
BBCWorld,Sat Sep 29 11:55:30 +0000 2018,0.0,0.0,1.0,0.0,37,HIV/Aids: China reports 14% surge in new cases https://t.co/quSiJJTfY6
BBCWorld,Sat Sep 29 11:40:46 +0000 2018,0.0,0.0,1.0,0.0,38,"RT @bbcworldservice: The 94-year-old who writes a sex advice column in Mumbai. #MyIndianLife 
📻 https://t.co/ZQ7MwxfCmh"
BBCWorld,Sat Sep 29 10:52:14 +0000 2018,0.0,0.0,1.0,0.0,39,"RT @bbcweather: A rare ""medicane"" (a hurricane-like storm in the Mediterranean) can be seen on these satellite images. This storm will brin…"
BBCWorld,Sat Sep 29 10:43:06 +0000 2018,0.0,0.0,1.0,0.0,40,RT @PhilippaBBC: A reminder for @BBCWorld followers about why so much is at stake with the Brett Kavanaugh confirmation - whatever your pol…
BBCWorld,Sat Sep 29 09:20:11 +0000 2018,-0.4215,0.0,0.682,0.318,41,In pictures: Tsunami devastation in Sulawesi https://t.co/Kqe9Z3uJ72
BBCWorld,Sat Sep 29 09:14:52 +0000 2018,-0.8402,0.0,0.655,0.345,42,"The woman who challenged US senator Flake in a lift: ""He had to confront the pain and rage that women feel""
(Tap to… https://t.co/1hlUOcDdxY"
BBCWorld,Sat Sep 29 08:47:49 +0000 2018,-0.5719,0.0,0.684,0.316,43,Why India is furious about a set of stamps https://t.co/FWpc19RBL9
BBCWorld,Sat Sep 29 07:33:59 +0000 2018,-0.5574,0.0,0.847,0.153,44,RT @BBCBreaking: At least 384 people now known to have died after an earthquake and tsunami hit a coastal Indonesian city https://t.co/IprV…
BBCWorld,Sat Sep 29 07:08:24 +0000 2018,0.4939,0.242,0.758,0.0,45,Gamers meet in real life at bedside of terminally-ill friend https://t.co/g4rF79BDes
BBCWorld,Sat Sep 29 01:11:32 +0000 2018,-0.6369,0.129,0.403,0.468,46,F-35 fighter jet: Programme suffers first crash https://t.co/HHN1joyOfJ
BBCWorld,Sat Sep 29 00:15:41 +0000 2018,-0.1007,0.191,0.589,0.22,47,Bula! Fiji fights US bar's trademark on a national greeting https://t.co/MhhIOtYxpF
BBCWorld,Sat Sep 29 00:01:54 +0000 2018,-0.296,0.0,0.804,0.196,48,Do New York police unfairly stop young black men? https://t.co/ewt2bRrHKO
BBCWorld,Fri Sep 28 23:58:06 +0000 2018,-0.128,0.0,0.842,0.158,49,Why is France's Macron talking tough on Brexit? https://t.co/0wDBq3DJlo
BBCWorld,Fri Sep 28 23:39:21 +0000 2018,-0.4215,0.0,0.703,0.297,50,Basra protests: US closes consulate after weeks of deadly protests https://t.co/sIY1rWcj4Z
BBCWorld,Fri Sep 28 22:02:57 +0000 2018,-0.1531,0.0,0.849,0.151,51,Kavanaugh hearings: Who were the women confronting Jeff Flake? https://t.co/tSHFiwZhcL
BBCWorld,Fri Sep 28 22:02:26 +0000 2018,-0.3182,0.0,0.874,0.126,52,The elevator confrontation that happened before Republican senator Jeff Flake's call for an FBI investigation into… https://t.co/UH9fyTgsuk
BBCWorld,Fri Sep 28 21:36:50 +0000 2018,0.4767,0.279,0.721,0.0,53,Jair Bolsonaro: The candidate dividing friends in Brazil https://t.co/nhwhvaD3dJ
BBCWorld,Fri Sep 28 21:25:44 +0000 2018,-0.8176,0.0,0.483,0.517,54,Astrid Holleeder: Why I betrayed my crime boss brother https://t.co/jeU2zV65vn
BBCWorld,Fri Sep 28 21:18:19 +0000 2018,-0.5719,0.0,0.829,0.171,55,RT @DaveLeeBBC: Facebook confirms the bug would have allowed attackers to log-in to third-party sites using a person's Facebook account.
BBCWorld,Fri Sep 28 21:10:08 +0000 2018,0.5574,0.153,0.847,0.0,56,RT @BBCBreaking: US President Donald Trump orders FBI to reopen background inquiry into Supreme Court nominee Brett Kavanaugh over sexual m…
BBCWorld,Fri Sep 28 19:45:02 +0000 2018,0.5106,0.268,0.732,0.0,57,Led Zeppelin to face new Stairway to Heaven trial https://t.co/JrpFtGOlM0
BBCWorld,Fri Sep 28 19:14:34 +0000 2018,0.0,0.0,1.0,0.0,58,"President Donald Trump: Christine Blasey Ford's testimony was ""very compelling... Brett's testimony likewise was re… https://t.co/olrOUwdB5W"
BBCWorld,Fri Sep 28 18:50:09 +0000 2018,0.0,0.0,1.0,0.0,59,Brett Kavanaugh deploys the Trump and Clinton playbook https://t.co/t8bKTGx269
BBCWorld,Fri Sep 28 18:23:58 +0000 2018,0.0772,0.14,0.86,0.0,60,"Brett Kavanaugh, Trump court nominee, clears first hurdle https://t.co/kpgxGaIht2"
BBCWorld,Fri Sep 28 18:23:48 +0000 2018,0.0,0.0,1.0,0.0,61,Malia Obama appears in New Dakotas' music video https://t.co/vNPpDsb8TP
BBCWorld,Fri Sep 28 18:23:01 +0000 2018,0.1779,0.1,0.83,0.07,62,RT @BBCJamesCook: BREAKING President Trump says he has no plan to replace his Supreme Court nominee but describes Brett Kavanaugh's accuser…
BBCWorld,Fri Sep 28 18:05:15 +0000 2018,0.5719,0.207,0.793,0.0,63,RT @BBCBreaking: Brett Kavanaugh's nomination to US Supreme Court backed by Senate committee as discussions continue over FBI inquiry https…
BBCWorld,Fri Sep 28 17:48:05 +0000 2018,0.0,0.0,1.0,0.0,64,Turkey-Germany: Erdogan urges Merkel to extradite Gulen 'terrorists' https://t.co/GnX6A5RqsH
BBCWorld,Fri Sep 28 17:48:04 +0000 2018,-0.8979,0.0,0.391,0.609,65,Jan Kuciak murder: Three people charged with journalist's killing https://t.co/qu0dkdEm0M
BBCWorld,Fri Sep 28 17:44:58 +0000 2018,0.34,0.094,0.906,0.0,66,"RT @BBCBreaking: Facebook says the security flaw has been fixed and it has informed police. In a statement it says ""we have yet to determin…"
BBCWorld,Fri Sep 28 17:27:52 +0000 2018,0.0,0.0,1.0,0.0,67,"The moment a tsunami wave hit a coastal city in Indonesia sweeping away buildings

https://t.co/RbuTRNhXu8 https://t.co/nwCPNxALPz"
BBCWorld,Fri Sep 28 17:10:20 +0000 2018,0.0,0.0,1.0,0.0,68,"RT @BBCBreaking: 50 million Facebook accounts compromised, the social network says - in all, 90m accounts will have to take action https://…"
BBCWorld,Fri Sep 28 17:07:57 +0000 2018,-0.802,0.0,0.604,0.396,69,Church sex abuse: 'I was forced to swim naked with our priest' https://t.co/qFYAilIpnk
BBCWorld,Fri Sep 28 16:48:03 +0000 2018,0.3612,0.238,0.762,0.0,70,Christine Blasey Ford through the eyes of a survivor https://t.co/pXj3U2dr5g
BBCWorld,Fri Sep 28 16:47:59 +0000 2018,0.0,0.0,1.0,0.0,71,Chinese message in a bottle makes waves in Queensland https://t.co/8P6iUNbWip
BBCWorld,Fri Sep 28 16:45:19 +0000 2018,-0.296,0.0,0.761,0.239,72,#KavanaughHearings: Five things you may have missed https://t.co/cZiP7KGe36
BBCWorld,Fri Sep 28 14:33:52 +0000 2018,0.0,0.0,1.0,0.0,73,"Denmark police continue major manhunt as bridges reopen
https://t.co/VvtZbPPK5Q"
BBCWorld,Fri Sep 28 14:19:05 +0000 2018,-0.6369,0.0,0.656,0.344,74,Chile abuse priest Fernando Karadima removed by Vatican https://t.co/cgBsQcaEzo
BBCWorld,Fri Sep 28 14:16:06 +0000 2018,0.5574,0.159,0.841,0.0,75,"Brett Kavanaugh: Senate Judiciary Committee to vote on Supreme Court nominee at 1330 EST (1830 BST)

Follow live up… https://t.co/5dPRaE9R5z"
BBCWorld,Fri Sep 28 14:11:18 +0000 2018,0.5106,0.32,0.68,0.0,76,Tsunami hits Indonesia's Palu after strong earthquake https://t.co/gdC9SlLXpi
BBCWorld,Fri Sep 28 14:08:40 +0000 2018,0.0,0.0,1.0,0.0,77,"""In 25 years... I have never seen a nominee for any position behave in that manner"" - Democrat Senator Dianne Feins… https://t.co/W4wD1TTPEQ"
BBCWorld,Fri Sep 28 14:02:55 +0000 2018,0.0,0.0,1.0,0.0,78,"RT @awzurcher: Ranking Democrat Dianne Feinstein now reading her statement, but several junior Democratic senators have already left the he…"
BBCWorld,Fri Sep 28 14:02:20 +0000 2018,-0.5859,0.0,0.703,0.297,79,Autopsy on Coptic Christian monk shows signs of poisoning https://t.co/efxdxxIhnI
BBCWorld,Fri Sep 28 14:00:11 +0000 2018,-0.0516,0.0,0.926,0.074,80,#KavanaughHearings: Some Democratic senators leave the room as Senate Judiciary Committee chairman Chuck Grassley m… https://t.co/SdXVNd8kMd
BBCWorld,Fri Sep 28 12:57:10 +0000 2018,-0.6597,0.0,0.747,0.253,81,"RT @BBCNews: 'The facial reconstruction that changed my life after bone cancer'

https://t.co/1ecgm8X4CW https://t.co/VHV1356Rru"
BBCWorld,Fri Sep 28 12:54:29 +0000 2018,0.0,0.0,1.0,0.0,82,RT @BBCBreaking: Danish police seal off bridges and ferries to Sweden and Germany in a major operation https://t.co/uvVH4ANjHm
BBCWorld,Fri Sep 28 12:26:24 +0000 2018,0.5574,0.231,0.769,0.0,83,"Brett Kavanaugh: Senate committee due to vote on Supreme Court nominee 

https://t.co/lFaAiBBbVN #kavanaughhearings"
BBCWorld,Fri Sep 28 12:21:44 +0000 2018,-0.296,0.0,0.732,0.268,84,European warnings over Italy's populist budget https://t.co/9EX9mjswwY
BBCWorld,Fri Sep 28 11:49:14 +0000 2018,0.7184,0.353,0.647,0.0,85,RT @BBCAfrica: Senegal's sand painter: Creating beauty with grains of sand https://t.co/tsPHeAxvrE https://t.co/MFF8lNr5Bg
BBCWorld,Fri Sep 28 11:46:26 +0000 2018,-0.8625,0.0,0.484,0.516,86,Ethiopia attack: Five charged for trying to kill PM Abiy Ahmed https://t.co/5ZIEKHu0Ip
BBCWorld,Fri Sep 28 11:31:22 +0000 2018,0.4215,0.318,0.682,0.0,87,"RT @BBCNews: Bless you, deer 🦌 https://t.co/7SMx5joISa"
BBCWorld,Fri Sep 28 10:26:58 +0000 2018,-0.4588,0.0,0.727,0.273,88,Iran mocks new nuclear claims by Israel's PM https://t.co/fIRZPmG5mY
BBCWorld,Fri Sep 28 10:02:10 +0000 2018,0.0258,0.073,0.927,0.0,89,"RT @BBCNews: #KavanaughHearings: The nomination, the allegations, and why it matters (in 300 words) 

https://t.co/WFrzrhvDus"
BBCWorld,Fri Sep 28 09:39:11 +0000 2018,0.0,0.0,1.0,0.0,90,First human case of rat hepatitis found in Hong Kong https://t.co/ABQ9OQM0YY
BBCWorld,Fri Sep 28 09:19:34 +0000 2018,0.0,0.0,1.0,0.0,91,"#BelieveWomen v #BackBrett

Social media reacts to #KavanaughHearings https://t.co/TXPtPZkTh4"
BBCWorld,Fri Sep 28 09:18:49 +0000 2018,-0.4215,0.0,0.588,0.412,92,.@ArianaGrande tweet worries fans https://t.co/qAK8JZ9Qbc
BBCWorld,Fri Sep 28 09:17:05 +0000 2018,0.3612,0.102,0.898,0.0,93,"RT @BBCSport: The second match is red for the first time, courtesy of Rickie Fowler.

#RyderCup live @5liveSport 
👉 https://t.co/KNp9oCIyiX…"
BBCWorld,Fri Sep 28 08:50:30 +0000 2018,0.0,0.0,1.0,0.0,94,#KavanaughHearings divide US media https://t.co/BD20kT7YTo
BBCWorld,Fri Sep 28 08:36:49 +0000 2018,0.1027,0.091,0.833,0.075,95,"Forget what you thought you knew about Baby Shark (doo doo doo doo doo doo)

This German woman was the original vir… https://t.co/x9hOgEeIS2"
BBCWorld,Fri Sep 28 07:34:59 +0000 2018,0.2023,0.281,0.521,0.198,96,Protests as Germany welcomes Turkey's Erdogan https://t.co/9ZIUcOFlSj
BBCWorld,Fri Sep 28 07:32:08 +0000 2018,0.7149,0.206,0.794,0.0,97,RT @SallyBundockBBC: Do you feel you are penalised for loyalty? Is this an issue outside of the UK as well? Get in touch #BBCBizLive - @VFr…
BBCWorld,Fri Sep 28 07:15:21 +0000 2018,0.0,0.0,1.0,0.0,98,"New name, same country? A choice for Macedonians https://t.co/LwswWrq67u"
BBCWorld,Fri Sep 28 07:08:23 +0000 2018,0.0,0.0,1.0,0.0,99,"Woman, 75, dies after being hit by lorry in County Monaghan https://t.co/inkYmEOdlM"
BBCWorld,Fri Sep 28 06:39:15 +0000 2018,0.0,0.0,1.0,0.0,100,"RT @BBCSport: First blood goes to #TeamEurope as Justin Rose birdies the opening hole!

#RyderCup live @5liveSport 
👉 https://t.co/KNp9oCIy…"
CBS,Fri Sep 28 22:22:01 +0000 2018,0.0,0.0,1.0,0.0,1,"On @colbertlateshow, @TheNeighborhood's @CedEntertainer and Stephen recall the first time they met on a night when… https://t.co/vjz1zVg4sR"
CBS,Fri Sep 28 20:16:14 +0000 2018,0.0,0.0,1.0,0.0,2,".@happytogether's @wayansjr, @HereIsGina &amp; @latelateshow discuss the pros and cons of living with a pop star. Con:… https://t.co/PLXFxfheW7"
CBS,Fri Sep 28 17:52:41 +0000 2018,0.0,0.0,1.0,0.0,3,"If you haven't seen @SEALTeamCBS, make it your mission to know them before the #SEALTeam Season 2 premiere October… https://t.co/NhCPI3lZSV"
CBS,Fri Sep 28 16:51:50 +0000 2018,0.0,0.0,1.0,0.0,4,"⚡️ “Murphy Brown Returns to CBS”

https://t.co/3vsAg7WcB1"
CBS,Thu Sep 27 20:19:18 +0000 2018,0.0,0.0,1.0,0.0,5,.@TheNeighborhood's @iamgreenfield revealing his Fiddler on the Roof goals on @latelateshow will be the earworm you… https://t.co/swbh8HPwA1
CBS,Thu Sep 27 20:01:53 +0000 2018,0.0,0.0,1.0,0.0,6,RT @MurphyBrownCBS: A moment 20 years in the making all comes down to this. #MurphyBrown returns to @CBS tonight! https://t.co/tWSMFM3YbG
CBS,Thu Sep 27 17:19:16 +0000 2018,0.0,0.0,1.0,0.0,7,"Candice Bergen tells @colbertlateshow the presidential way tonight's @MurphyBrownCBS premiere imitates life, albeit… https://t.co/4Kbk8gt6nS"
CBS,Thu Sep 27 16:58:08 +0000 2018,-0.34,0.169,0.581,0.25,8,@marlagardner222 @jay_hernandez Good idea. The theme song is a dead giveaway. 😉
CBS,Thu Sep 27 00:44:13 +0000 2018,0.0,0.0,1.0,0.0,9,@queenmama7777 @CBSAllAccess We believe in you! https://t.co/ZK0xaPRxVr
CBS,Thu Sep 27 00:42:15 +0000 2018,0.0,0.0,1.0,0.0,10,@BSkyjackcity @jokersupdates @CBSAllAccess On it. https://t.co/yxKX9ry7fw
CBS,Wed Sep 26 21:49:27 +0000 2018,0.1139,0.071,0.929,0.0,11,Sixteen houseguests entered and now it's down to the Final 3. Don't miss a second of the 90-minute #BB20Finale toni… https://t.co/KwDHR9Hfqu
CBS,Wed Sep 26 19:57:54 +0000 2018,0.6249,0.221,0.779,0.0,12,"The tribe has spoken, and they do a pretty decent @JeffProbst impression just in time for the @survivorcbs Season P… https://t.co/2Ps8VKblay"
CBS,Wed Sep 26 17:25:43 +0000 2018,0.0,0.0,1.0,0.0,13,"⚡️ “FBI Premieres on CBS”

https://t.co/faL6iHZc5g"
CBS,Tue Sep 25 21:10:56 +0000 2018,-0.2714,0.098,0.764,0.138,14,"RT @CBSAllAccess: A night of crime dramas?! Oh yes. 🙌 Stream @NCIS_CBS, @FBICBS &amp; @NCISNewOrleans starting at 8/7c on CBS All Access: https…"
CBS,Tue Sep 25 20:31:45 +0000 2018,-0.2263,0.0,0.909,0.091,15,"Before @FBICBS premieres tonight, @mperegrym stopped by @CBSThisMorning to talk about her role as an FBI agent in t… https://t.co/CPVki4Hv8y"
CBS,Tue Sep 25 19:54:26 +0000 2018,0.0,0.0,1.0,0.0,16,RT @CBSAllAccess: 🚨 @PatrickBrammall. Tim Meadows. @jessicaalba. @iamgreenfield. @AHWAmySedaris. @ChrisGethard. @JoeManganiello. AND SO MAN…
CBS,Tue Sep 25 19:45:33 +0000 2018,0.7901,0.291,0.709,0.0,17,RT @bigbangtheory: Happy #NationalComicBookDay from Sheldon and his many shirts! How are you sporting your favorite superhero today? #BigBa…
CBS,Tue Sep 25 18:34:26 +0000 2018,0.0,0.0,1.0,0.0,18,"⚡️ “Magnum P.I. Premieres on CBS”

https://t.co/UtbQlcDG8S"
CBS,Tue Sep 25 18:05:31 +0000 2018,0.0,0.0,1.0,0.0,19,".@jay_hernandez went on @latelateshow to talk about @MagnumPICBS, but he may have gotten @TiffanyHaddish as a surf… https://t.co/a3acRu10aw"
CBS,Mon Sep 24 18:56:15 +0000 2018,0.0,0.0,1.0,0.0,20,"RT @60Minutes: 60 Minutes turns 50 today. Tick, tick, tick ... https://t.co/3CVKEs9J7F"
CBS,Fri Sep 28 22:22:01 +0000 2018,0.0,0.0,1.0,0.0,21,"On @colbertlateshow, @TheNeighborhood's @CedEntertainer and Stephen recall the first time they met on a night when… https://t.co/vjz1zVg4sR"
CBS,Fri Sep 28 20:16:14 +0000 2018,0.0,0.0,1.0,0.0,22,".@happytogether's @wayansjr, @HereIsGina &amp; @latelateshow discuss the pros and cons of living with a pop star. Con:… https://t.co/PLXFxfheW7"
CBS,Fri Sep 28 17:52:41 +0000 2018,0.0,0.0,1.0,0.0,23,"If you haven't seen @SEALTeamCBS, make it your mission to know them before the #SEALTeam Season 2 premiere October… https://t.co/NhCPI3lZSV"
CBS,Fri Sep 28 16:51:50 +0000 2018,0.0,0.0,1.0,0.0,24,"⚡️ “Murphy Brown Returns to CBS”

https://t.co/3vsAg7WcB1"
